mae,rmse,r2,mape,smape,max_abs_error,model,horizon,split,rank
0.031794007561952914,0.04447680380770298,0.990531022542209,1.0919751451152617,1.0805699843813945,0.11276694543072141,LinearRegression,25,test,5.0
0.04127977839539443,0.06212647943289655,0.981524788046599,1.4748198363014127,1.4479008064518364,0.1674272712261562,WeightedEnsemble,25,test,6.0
0.0647876529187422,0.08307829513522812,0.9669622020178824,2.229364657865078,2.1829942713501627,0.19454734414576835,LastValue,25,test,7.0
0.29693026990515575,0.4652765614486949,-0.03623508439291223,10.859823884292338,9.459366305098207,1.3819576636110922,ExtraTrees,25,test,8.0
0.29805979368710944,0.4685611601945169,-0.05091723509404433,10.913897532157774,9.494624550368133,1.3882337664670659,RandomForest,25,test,9.0
0.3005060155491186,0.4734322256363942,-0.07288104920875926,11.020040823462042,9.5735099126497,1.3902236967221966,HistGradientBoosting,25,test,10.0
0.012453674218031391,0.015532965651997008,0.998845099137739,0.391052366614287,0.39085745284945667,0.07388241790578087,ElasticNet,25,test_final,1.0
0.01527691250442879,0.021867766551844574,0.9928376640027853,0.44433748332447137,0.4426523928519616,0.06474570916040268,ElasticNet,25,validation,1.0
0.015388640655405536,0.021878018015233983,0.9928309471178648,0.4473213348133609,0.445632209741015,0.06470861845013509,Lasso,25,validation,2.0
0.016338926687666157,0.024083783567411553,0.9913124910678693,0.47641544383469936,0.4743601360646809,0.07011981461773953,Ridge,25,validation,3.0
0.018477859232230925,0.026648770442865805,0.989363464736997,0.5358380596672324,0.5334150345090937,0.07751253701891692,LinearRegression,25,validation,4.0
0.01937915127192075,0.02775684695322811,0.9884605238393592,0.5638122957508471,0.5611925321652963,0.09560035001510503,WeightedEnsemble,25,validation,5.0
0.026621724102974056,0.03605098814011912,0.980533844927218,0.7424589986139394,0.7423008288728375,0.20407545168300034,HistoricalLinear,25,validation,6.0
0.04558880576823067,0.05370112412466364,0.9568070778589023,1.312032042988678,1.2995335445931133,0.13914651057214833,LastValue,25,validation,7.0
0.06557858686249571,0.11752195142816135,0.7931365225051776,1.9662959668421816,1.903910545480925,0.4983176867177521,ExtraTrees,25,validation,8.0
0.07223580249836764,0.12181394844644215,0.777750970198688,2.1382362512868793,2.075154240679612,0.5056965074522966,RandomForest,25,validation,9.0
0.06768176116523203,0.12334119007034543,0.7721431434830939,2.0415605460573363,1.9719114135034996,0.5114578195346122,HistGradientBoosting,25,validation,10.0
0.04606399883240536,0.06308912832407743,0.9811774566674185,1.4207169918189446,1.4182291046727664,0.3316603638166469,HistoricalLinear,50,test,1.0
0.04018888884547871,0.06397158995749905,0.9806472119011915,1.4506546410727628,1.4227161248354208,0.15952168544668144,ElasticNet,50,test,2.0
0.040733350346414794,0.06442446325502749,0.9803722340966561,1.4688786570012646,1.440460831581542,0.16005388095171602,Lasso,50,test,3.0
0.043401054038449724,0.06788567751260838,0.9782065711444118,1.5521571507925416,1.521629544755259,0.16869979385888323,Ridge,50,test,4.0
0.05216870553654855,0.07495582096745546,0.9734307079812687,1.8125247053285882,1.7785721425025782,0.1827092683844893,LinearRegression,50,test,5.0
0.06655309351575012,0.10124374625461012,0.9515263564391716,2.3927992764941024,2.3213770295828073,0.270700960230402,WeightedEnsemble,50,test,6.0
0.12634480332871934,0.1600172518580981,0.8789115090852859,4.35659336901469,4.1866551843908795,0.35284420912764647,LastValue,50,test,7.0
0.29601074919029163,0.46092529819408606,-0.004685980964865832,10.828120281945507,9.448689852953786,1.3653283037646151,ExtraTrees,50,test,8.0
0.29497324272425485,0.4648369823459963,-0.021811057219583985,10.83436083502874,9.428727387700407,1.3750032850601381,RandomForest,50,test,9.0
0.30366220920914927,0.4752592364303666,-0.06814542207787544,11.143745768664889,9.682263709657434,1.3815233022875533,HistGradientBoosting,50,test,10.0
0.0239473352895333,0.028085559084411196,0.9962697718186081,0.7588839176296577,0.7575501444522437,0.07735417073139672,Lasso,50,test_final,1.0
0.02326357360417897,0.03628417109971395,0.9809890535040652,0.6869370880606281,0.6814627706315716,0.109865032712408,Lasso,50,validation,1.0
0.023063846611474818,0.03631286243573387,0.9809589761953263,0.6815320184801297,0.6760457770581626,0.11021610341244692,ElasticNet,50,validation,2.0
0.02426808256611363,0.03988148987327723,0.9770325872429096,0.7192913138007009,0.7126297132135669,0.1181693076370589,Ridge,50,validation,3.0
0.027953979256747908,0.04320077720992246,0.9730503923144348,0.8188021149073617,0.8115144989179552,0.12648507478664506,LinearRegression,50,validation,4.0
0.029207623725845736,0.04414934984310253,0.9718539177815447,0.8597997369748533,0.852119485494546,0.14097412976329027,WeightedEnsemble,50,validation,5.0
0.04574274347529844,0.06122381426762107,0.9458734815891313,1.2872198803910102,1.2850650504764383,0.2748489006127337,HistoricalLinear,50,validation,6.0
0.08945345214864815,0.10222182485909168,0.8491113452708665,2.5817673353435473,2.536361203330462,0.24607355931526875,LastValue,50,validation,7.0
0.06619222520167087,0.118132835733116,0.7984835121223304,1.99463707171319,1.9311138054945431,0.5026455011698272,ExtraTrees,50,validation,8.0
0.07472991687960379,0.1232276579383686,0.7807267185641034,2.220297856854302,2.1551728011473608,0.5116324062059308,RandomForest,50,validation,9.0
0.07241600655976511,0.12783371998440288,0.7640281586534297,2.187730886706903,2.1126794555206767,0.5177156568965939,HistGradientBoosting,50,validation,10.0
0.07320433296043226,0.12104523728588787,0.9326866281864855,2.6841038686210736,2.5835405720003024,0.2787514907131672,ElasticNet,100,test,1.0
0.07543597611113716,0.12385191435675018,0.9295288464116669,2.7633958313651843,2.6576107228409422,0.28530110975457346,Lasso,100,test,2.0
